"","user_id","status_id","created_at","screen_name","text","source","lon","lat","Full Address","statename"
"3022","508767681","1104133052685524995",2019-03-08 21:33:28,"yelahlittle","I’ve been sitting in a room with like ten people with the flu and I’m scared","Twitter for iPhone",-84.3879824,33.7489954,"Georgia State Capitol, Atlanta, GA 30334, USA","Georgia"
"3023","19158534","1104133022478024704",2019-03-08 21:33:21,"DRUified","I will never take the flu vaccine... not even
If you make it mandatory... I’d rather become an ex-pat... that vaccine is not to heal... it’s to destroy..","Facebook",-118.3617443,34.0900091,"1049 N Fairfax Ave, West Hollywood, CA 90046, USA","California"
"3024","865293516339122176","1104132886607872001",2019-03-08 21:32:48,"iEricMC","@Kelly4572 Aw, good luck Kelly! I got the flu on Christmas Day, so I can empathize.","Twitter Web App",-77.1945247,41.2033216,"314 Shorecrest Ln, Linden, PA 17744, USA","Pennsylvania"
"3025","56451537","1104091397844549633",2019-03-08 18:47:56,"Prophetx15","@CJPendragon @SeekingSomeone @zmax87 @TSaurusBecks International Men's Day occurs any time a guy gets the flu... I mean seriously... Have you ever been around one of us when that happens?!? The whole freaking world comes to a stop!!!  😜","Twitter for Android",-90.685397,40.4726649,"1018 W University Dr, Macomb, IL 61455, USA","Illinois"
"3026","56451537","1104132879104307200",2019-03-08 21:32:46,"Prophetx15","@Mom_Overboard @SeekingSomeone I know better than that!  Man's Day occurs every time there's a sniffle, cough or flu...  We shut down completely for those days! https://t.co/8llB7p1yPa","Twitter for Android",-90.685397,40.4726649,"1018 W University Dr, Macomb, IL 61455, USA","Illinois"
"3027","795677739718242308","1104132664376778752",2019-03-08 21:31:55,"TheCaraGia","All those warnings we hear about “We’re headed for a pandemic,” aren’t an accident, people. They know exactly what’s coming, because they’re... https://t.co/J0fHaiEVEB","Facebook",-81.5157535,27.6648274,"Avon Park, FL 33825, USA","Florida"
"3028","490616217","1104132641308188672",2019-03-08 21:31:50,"kevingreen68","@HuffPostPol And the flu polls better than cancer","Twitter for iPhone",-97.7430608,30.267153,"501 Congress Ave, Austin, TX 78701, USA","Texas"
"3029","133378751","1103810732494372864",2019-03-08 00:12:41,"iBoldNews","New Approach To Flu Treatment Mimics Antibodies : Shots – Health News – NPR https://t.co/4G3g3uSUdY https://t.co/UIVYXQ3J8R","WordPress.com",-74.0059728,40.7127753,"11 Centre St, New York, NY 10007, USA","New York"
"3030","133378751","1104132600778629122",2019-03-08 21:31:40,"iBoldNews","Flu season has peaked, but nasty strain is on rise: report – Fox News https://t.co/kgUCjIj0bw https://t.co/2Nel9DyKig","WordPress.com",-74.0059728,40.7127753,"11 Centre St, New York, NY 10007, USA","New York"
"3031","2374920033","1103827884123320320",2019-03-08 01:20:50,"slime_Flu_","@HOF_Fridge27 @mjbullsfan @bPluu_3 @Ronnie2K @NBA2K He couldn’t or didn’t want to ?","Twitter for iPhone",-73.9393554,40.8417082,"3335 Broadway, New York, NY 10032, USA","New York"
